developer_name,developer_address,developer_contact_person,developer_project_developer_subsidiary_name,developer_project_project_name,developer_project_address,developer_project_contact_person,developer_project_email,developer_project_commission_rate,developer_project_sales_cluster
Amaia Land Corp.,Alabang Town Center,N/A,Amaia Land Corp.,Amaia Steps Pasig,"1600, 890 Eusebio, San Miguel, Pasig, 1600 Metro Manila",Shiela Victory,shiela.victory@dmcicorp.com,5,Others
Amaia Land Corp.,Alabang Town Center,N/A,Amaia Land Corp.,Amaia Steps Sucat ,"Metro Manila,, 8333 Dr Arcadio Santos Ave, San Antonio, Parañaque, 1715 Metro Manila",Nicole Anne Voldemort,navoldemort@findyourhome.com,5,LAMP Cluster
Amaia Land Corp.,Alabang Town Center,N/A,"Ayala Land, Inc.",Amaia Skies Avenida,"Doroteo Jose St. Sta Cruz, Manila",Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Metro Mid Cluster
Amaia Land Corp.,Alabang Town Center,N/A,"Ayala Land, Inc.",Amaia Steps Bicutan,"South Luzon West Service Road corner, Sun Valley Dr, Parañaque, Metro Manila",Johnny Boyega,j.boyega@amaiacorp.com,5,LAMP Cluster
Axeia Group of Companies,"AXEIA Building, Phoenix Sun Business Park, Eulogio Rodriguez Jr. Ave, Quezon City, Metro Manila",Grace Caca,Axeia Group of Companies,55 Kalayaan Suites,"55 Kalayaan Ave, Diliman, Quezon City, Metro Manila",Geraline Lonceras,geraldine.lonceras@hotmail.com,5,Others
Axeia Group of Companies,"AXEIA Building, Phoenix Sun Business Park, Eulogio Rodriguez Jr. Ave, Quezon City, Metro Manila",Grace Caca,Axeia Group of Companies,Alta Tierra,"Alta Tierra Homes, Mayors Dr, General Mariano Alvarez, Cavite",Gen Santana,g.santana@hotmail.com,7,South Cluster
Axeia Group of Companies,"AXEIA Building, Phoenix Sun Business Park, Eulogio Rodriguez Jr. Ave, Quezon City, Metro Manila",Grace Caca,Axeia Group of Companies,Bay Garden Homes,"Bay, Laguna",Shiela Victory,shiela.victory@dmcicorp.com,7,South Cluster
Axeia Group of Companies,"AXEIA Building, Phoenix Sun Business Park, Eulogio Rodriguez Jr. Ave, Quezon City, Metro Manila",Grace Caca,Axeia Group of Companies,Calamba Park Residences,"Makiling Calamba, Laguna",Grace Cacao,grace.cacao@axeia.com.ph,7,Others
Axeia Group of Companies,"AXEIA Building, Phoenix Sun Business Park, Eulogio Rodriguez Jr. Ave, Quezon City, Metro Manila",Grace Caca,Axeia Group of Companies,Hills View Royale Subdivision,"imalan Balsahan, Ermita, Naic, Cavite",Gen Santana,g.santana@hotmail.com,7,Others
Axeia Group of Companies,"AXEIA Building, Phoenix Sun Business Park, Eulogio Rodriguez Jr. Ave, Quezon City, Metro Manila",Grace Caca,Axeia Group of Companies,Kazari Dasmarinas,"Dasmariñas, Cavite",Geraline Lonceras,geraldine.lonceras@hotmail.com,7,South Cluster
Axeia Group of Companies,"AXEIA Building, Phoenix Sun Business Park, Eulogio Rodriguez Jr. Ave, Quezon City, Metro Manila",Grace Caca,Axeia Group of Companies,Le Moubreza Phase 2,Batangas City,Gen Santana,g.santana@hotmail.com,7,Ala Eh Cluster
Axeia Group of Companies,"AXEIA Building, Phoenix Sun Business Park, Eulogio Rodriguez Jr. Ave, Quezon City, Metro Manila",Grace Caca,Axeia Group of Companies,Santorini Estates,"St. Mary Street, Binangonan, Rizal",Grace Cacao,grace.cacao@axeia.com.ph,7,East Cluster
Axeia Group of Companies,"AXEIA Building, Phoenix Sun Business Park, Eulogio Rodriguez Jr. Ave, Quezon City, Metro Manila",Grace Caca,Axeia Group of Companies,Tierra Sueño,"Barangay Rd, Calamba, Laguna",Shiela Victory,shiela.victory@dmcicorp.com,7,South Cluster
Axeia Group of Companies,"AXEIA Building, Phoenix Sun Business Park, Eulogio Rodriguez Jr. Ave, Quezon City, Metro Manila",Grace Caca,Axeia Group of Companies,Tierra Vista Dasmarinas,Dasmarinas Cavite,Shiela Victory,shiela.victory@dmcicorp.com,7,South Cluster
Axeia Group of Companies,"AXEIA Building, Phoenix Sun Business Park, Eulogio Rodriguez Jr. Ave, Quezon City, Metro Manila",Grace Caca,Axeia Group of Companies,Valle Verde,Pasig City,Grace Cacao,grace.cacao@axeia.com.ph,7,South Cluster
Axeia Group of Companies,"AXEIA Building, Phoenix Sun Business Park, Eulogio Rodriguez Jr. Ave, Quezon City, Metro Manila",Grace Caca,Axeia Group of Companies,Zuri Residences,"Brgy.Dolores, Taytay, Rizal",Mary Caca,marycaca@yahoo.com,7,East Cluster
Axeia Group of Companies,"AXEIA Building, Phoenix Sun Business Park, Eulogio Rodriguez Jr. Ave, Quezon City, Metro Manila",Grace Caca,Basic Housing Solutions Inc.,Hills View Royale Subdivision,"Brgy. Sabang, Naic, Cavite",Shiela Victory,shiela.victory@dmcicorp.com,7,Others
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Alegra Heights,"San Vicente, Sta. Maria Bulacan",Jane Montez,jmontez@yahoo.com,6,Others
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Amira Townhomes,Sta Rosa Laguna,Jane Montez,jmontez@yahoo.com,6,South Cluster
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Azalea Townhomes,Mexico Mabalacat Pampanga Sapang Maisac,Jane Montez,jmontez@yahoo.com,6,Others
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Berkeley Heights Subdivision,Sta Rosa Laguna,Jane Montez,jmontez@yahoo.com,6,South Cluster
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Buenavista Townhomes,"4107, 1st St, General Trias, Cavite",Jane Montez,jmontez@yahoo.com,6,Cavite Central Cluster
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Celina Plains ,Imus Cavite,Jane Montez,jmontez@yahoo.com,6,Others
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Celina Plains Imus,Imus Cavite,Jane Montez,jmontez@yahoo.com,6,Others
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Celina Plains Sta. Rosa,Imus Cavite,Jane Montez,jmontez@yahoo.com,6,South Cluster
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Estrella Heights Subdivision,"Montalban, Rizal",Jane Montez,jmontez@yahoo.com,6,East Cluster
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Estrella Homes Marilao,"Marilao, Bulacan",Jane Montez,jmontez@yahoo.com,6,North Cluster
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Georgia Plains Subdivision,"Brgy. Sapang Maisac, Mexico Pampanga",Jane Montez,jmontez@yahoo.com,6,Others
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,La Bella Homes,"Cabuyao, Laguna",Jane Montez,jmontez@yahoo.com,6,South Cluster
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,La Terreza de Antipolo,"Dalig, Antipolo Rizal",Jane Montez,jmontez@yahoo.com,6,East Cluster
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Margaret Homes,Sta Maria Bulacan,Jane Montez,jmontez@yahoo.com,6,North Cluster
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Monterra Verde,Tanza Cavite,Jane Montez,jmontez@yahoo.com,6,Cavitex Cluster
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Mountain View Homes,Sto Tomas Batangas,Jane Montez,jmontez@yahoo.com,6,Others
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,North Fairway Homes,San Jose Del Monte Bulacan,Jane Montez,jmontez@yahoo.com,6,North Cluster
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Ridgepoint Subdivision,Teresa Rizal,Jane Montez,jmontez@yahoo.com,6,East Cluster
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Rosedale Heights Subdivision,Malvar Batangas,Jane Montez,jmontez@yahoo.com,6,Others
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,San Jose Townhomes,"Open Canal Rd, General Trias, Cavite",Jane Montez,jmontez@yahoo.com,6,Others
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Sanja Mayor Subdivision,"Barangay Sanja Mayor, Tanza, 4108 Cavite",Jane Montez,jmontez@yahoo.com,6,Cavitex Cluster
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Selera Homes,Sta Maria Bulacan,Jane Ubie,j.ubie@gmail.com,6,North Cluster
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,South Spring Heights,Sto Tomas Batangas,Jane Montez,jmontez@yahoo.com,6,Ala Eh Cluster
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Springtown Villas,"23843 National Highway, San Del Monte City, 3023 Bulacan",Jane Montez,jmontez@yahoo.com,6,North Cluster
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Sta. Elena Village,"San Jose, Antipolo Rizal",Jane Montez,jmontez@yahoo.com,6,East Cluster
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Sunrise Point,"President Jose P. Laurel Hwy, Lipa, Batangas",Jane Montez,jmontez@yahoo.com,6,Others
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Tamara Subdivision ,Tanza Cavite,Jane Montez,jmontez@yahoo.com,6,Cavitex Cluster
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Venezia Homes,Sta. Maria Bulacan,Jane Montez,jmontez@yahoo.com,6,North Cluster
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Venezia Townhomes,Sta Maria Bulacan,Jane Montez,jmontez@yahoo.com,6,North Cluster
Borland Development Corporation,Quirino Hi-way Novalihes Quezon City,Jane Piamonte,Borland Development Corporation,Villa Muzon Classique,"Brgy. Muzon San Jose Del Monte City, Bulacan",Jane Montez,jmontez@yahoo.com,6,North Cluster
Bria Homes Inc.,"Lower Ground Floor, Bria Homes Inc., Starmall EDSA corner Shaw Boulevard",Mr. RK,Bria Homes Inc.,Bria Binangonan,"Binangonan, Rizal",Maria Jumanji,maria.j@gmail.com,5,East Cluster
Bria Homes Inc.,"Lower Ground Floor, Bria Homes Inc., Starmall EDSA corner Shaw Boulevard",Mr. RK,Bria Homes Inc.,Bria Calamba,"Calamba, Laguna",Maria Jumanji,maria.j@gmail.com,5,Others
Bria Homes Inc.,"Lower Ground Floor, Bria Homes Inc., Starmall EDSA corner Shaw Boulevard",Mr. RK,Bria Homes Inc.,Bria Homes Baras,"Baras, Rizal",Nicole Anne Voldemort,navoldemort@findyourhome.com,5,East Cluster
Bria Homes Inc.,"Lower Ground Floor, Bria Homes Inc., Starmall EDSA corner Shaw Boulevard",Mr. RK,Bria Homes Inc.,Bria Homes General Trias,Gen. Trias Cavite,Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Others
Bria Homes Inc.,"Lower Ground Floor, Bria Homes Inc., Starmall EDSA corner Shaw Boulevard",Mr. RK,Bria Homes Inc.,Bria Homes Malolos,"Malolos, Bulacan",Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Others
Bria Homes Inc.,"Lower Ground Floor, Bria Homes Inc., Starmall EDSA corner Shaw Boulevard",Mr. RK,Bria Homes Inc.,Bria Homes Sta Maria Bulacan,Sta Maria Bulacan,Nicole Anne Voldemort,navoldemort@findyourhome.com,5,North Cluster
Bria Homes Inc.,"Lower Ground Floor, Bria Homes Inc., Starmall EDSA corner Shaw Boulevard",Mr. RK,Bria Homes Inc.,Bria Homes Tanza,"Tanza, Cavite City",Maria Jumanji,maria.j@gmail.com,5,Others
Bria Homes Inc.,"Lower Ground Floor, Bria Homes Inc., Starmall EDSA corner Shaw Boulevard",Mr. RK,Bria Homes Inc.,Bria La Hacienda,"Teresa, Rizal",Nicole Anne Voldemort,navoldemort@findyourhome.com,5,East Cluster
Bria Homes Inc.,"Lower Ground Floor, Bria Homes Inc., Starmall EDSA corner Shaw Boulevard",Mr. RK,Bria Homes Inc.,Bria Norzagaray,Bulacan,Maria Jumanji,maria.j@gmail.com,5,North Cluster
Bria Homes Inc.,"Lower Ground Floor, Bria Homes Inc., Starmall EDSA corner Shaw Boulevard",Mr. RK,Bria Homes Inc.,Bria Palazzo Teresa,Teresa Rizal,Maria Jumanji,maria.j@gmail.com,5,East Cluster
Bria Homes Inc.,"Lower Ground Floor, Bria Homes Inc., Starmall EDSA corner Shaw Boulevard",Mr. RK,Bria Homes Inc.,East Ridge Homes,Binangonan Rizal,Maria Jumanji,maria.j@gmail.com,5,East Cluster
Bria Homes Inc.,"Lower Ground Floor, Bria Homes Inc., Starmall EDSA corner Shaw Boulevard",Mr. RK,Bria Homes Inc.,Lumina General Trias,"Gen. Trias, Cavite",Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Others
Bria Homes Inc.,"Lower Ground Floor, Bria Homes Inc., Starmall EDSA corner Shaw Boulevard",Mr. RK,Bria Homes Inc.,Northridge Central Lane, ,Nicole Anne Voldemort,navoldemort@findyourhome.com,5,North Cluster
Bria Homes Inc.,"Lower Ground Floor, Bria Homes Inc., Starmall EDSA corner Shaw Boulevard",Mr. RK,Bria Homes Inc.,Northridge Grove,"Tungko, San Jose Del Monte Bulacan",Maria Jumanji,maria.j@gmail.com,5,North Cluster
Bria Homes Inc.,"Lower Ground Floor, Bria Homes Inc., Starmall EDSA corner Shaw Boulevard",Mr. RK,Bria Homes Inc.,Northridge View,"Road Brgy. Santo Cristo, San Jose Del Monte City, Bulacan",Johnny Boyega,j.boyega@amaiacorp.com,5,North Cluster
Bria Homes Inc.,"Lower Ground Floor, Bria Homes Inc., Starmall EDSA corner Shaw Boulevard",Mr. RK,Bria Homes North ,Northridge View,"Road Brgy. Santo Cristo, San Jose Del Monte City, Bulacan",Johnny Boyega,j.boyega@amaiacorp.com,6,North Cluster
Bria Homes Inc.,"Lower Ground Floor, Bria Homes Inc., Starmall EDSA corner Shaw Boulevard",Mr. RK,Casa Regalia Inc.,Kalliste Tanza,Cavite,Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Others
Bria Homes Inc.,"Lower Ground Floor, Bria Homes Inc., Starmall EDSA corner Shaw Boulevard",Mr. RK,Household Devt Corp,Bria Binangonan,"Binangonan, Rizal",Maria Jumanji,maria.j@gmail.com,5,East Cluster
Camella a Vista Land Company,"UG Starmall Alabang , South Super Highway , Alabang , Muntilupa City , Metro Manila",Joyce Ramos,Camella a Vista Land Company,Camella Bucandala,"Imus, Cavite",Francis Marj,francis.marj@camellacorp.com,5,Others
Camella a Vista Land Company,"UG Starmall Alabang , South Super Highway , Alabang , Muntilupa City , Metro Manila",Joyce Ramos,Camella a Vista Land Company,Camella Carson,"Managers Dr, Molino III, Bacoor, Cavite",Joyce Romano,j.romano@supermail.com,5,Others
Camella a Vista Land Company,"UG Starmall Alabang , South Super Highway , Alabang , Muntilupa City , Metro Manila",Joyce Ramos,Camella a Vista Land Company,Camella Cielo,"San Lorenzo St, San Jose del Monte City, Bulacan",Nicole Anne Voldemort,navoldemort@findyourhome.com,5,North Cluster
Camella a Vista Land Company,"UG Starmall Alabang , South Super Highway , Alabang , Muntilupa City , Metro Manila",Joyce Ramos,Camella a Vista Land Company,Camella Dor Rios Canlubang,Laguna,Jackie Dy,jackie.dy@hotmail.com,5,Others
Camella a Vista Land Company,"UG Starmall Alabang , South Super Highway , Alabang , Muntilupa City , Metro Manila",Joyce Ramos,Camella a Vista Land Company,Camella Homes San Jose,San Jose Bulacan,Joyce Romano,j.romano@supermail.com,5,Others
Camella a Vista Land Company,"UG Starmall Alabang , South Super Highway , Alabang , Muntilupa City , Metro Manila",Joyce Ramos,Camella a Vista Land Company,Camella La Montagna,"Teresa, Rizal",Johnny Boyega,j.boyega@amaiacorp.com,5,East Cluster
Camella a Vista Land Company,"UG Starmall Alabang , South Super Highway , Alabang , Muntilupa City , Metro Manila",Joyce Ramos,Camella a Vista Land Company,Camella Leyte,"Palo, Leyte",Geraline Lonceras,geraldine.lonceras@hotmail.com,5,Others
Camella a Vista Land Company,"UG Starmall Alabang , South Super Highway , Alabang , Muntilupa City , Metro Manila",Joyce Ramos,Camella a Vista Land Company,Camella Meadows,"Binangonan, Rizal",Joyce Romano,j.romano@supermail.com,5,East Cluster
Camella a Vista Land Company,"UG Starmall Alabang , South Super Highway , Alabang , Muntilupa City , Metro Manila",Joyce Ramos,Camella a Vista Land Company,Camella Verra Metro North,"Gulod St, Valenzuela, Bulacan",Joyce Romano,j.romano@supermail.com,5,Others
Camella a Vista Land Company,"UG Starmall Alabang , South Super Highway , Alabang , Muntilupa City , Metro Manila",Joyce Ramos,Camella a Vista Land Company,Camella Vita at Tierra Nevada,"Gen. Trias, Cavite",Joyce Romano,j.romano@supermail.com,5,Others
Camella a Vista Land Company,"UG Starmall Alabang , South Super Highway , Alabang , Muntilupa City , Metro Manila",Joyce Ramos,Camella a Vista Land Company,Crestwood Subdivision,"San Luis, Antipolo, Rizal",Joyce Romano,j.romano@supermail.com,5,East Cluster
Camella a Vista Land Company,"UG Starmall Alabang , South Super Highway , Alabang , Muntilupa City , Metro Manila",Joyce Ramos,"Communities Batangas, Inc.",Camella Sto. Tomas,"AH26, San Vicente, Santo Tomas, Batangas",Johnny Boyega,j.boyega@amaiacorp.com,5,Others
Camella a Vista Land Company,"UG Starmall Alabang , South Super Highway , Alabang , Muntilupa City , Metro Manila",Joyce Ramos,Communities Leyte Inc.,Camella Leyte, ,Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Others
Camella a Vista Land Company,"UG Starmall Alabang , South Super Highway , Alabang , Muntilupa City , Metro Manila",Joyce Ramos,Communties Quezon Inc.,Camella Quezon,Quezon,Johnny Boyega,j.boyega@amaiacorp.com,5,Others
Camella a Vista Land Company,"UG Starmall Alabang , South Super Highway , Alabang , Muntilupa City , Metro Manila",Joyce Ramos,Crown Asia Properties,Camella Crestwood,"Antipolo, 1870 Rizal",Johnny Boyega,j.boyega@amaiacorp.com,5,East Cluster
Camella a Vista Land Company,"UG Starmall Alabang , South Super Highway , Alabang , Muntilupa City , Metro Manila",Joyce Ramos,Household Development Corp.,Camella Lessandra,General Trias,Francis Marj,francis.marj@camellacorp.com,5,Others
Camella a Vista Land Company,"UG Starmall Alabang , South Super Highway , Alabang , Muntilupa City , Metro Manila",Joyce Ramos,Household Development Corp.,Camella Trece Cavite,Trece Martires Cavite City,Nicole Anne Voldemort,navoldemort@findyourhome.com,5,Others
Con-tech Properties Inc.,Blk. 1 Lot 50 Phase 7 Sacred Heart Village Caloocan City,Mario Olaso,Con-Tech Properties Inc.,Princeps Homes,N/A,Farrah Fontain,farrah.fontain@gmail.com,7,North Cluster
Con-Tech Properties Inc.,B1 L50 PH7 Sacred Heart Village 179 Caloocan City Metro Manila,Farrah ,Con-Tech Properties Inc.,Princeps Homes,N/A,Farrah Fontain,farrah.fontain@gmail.com,7,North Cluster
Con-tech Properties Inc.,Blk. 1 Lot 50 Phase 7 Sacred Heart Village Caloocan City,Mario Olaso,Con-Tech Properties Inc.,Princess Homes,N/A,Farrah Fontain,farrah.fontain@gmail.com,7,North Cluster
Con-Tech Properties Inc.,B1 L50 PH7 Sacred Heart Village 179 Caloocan City Metro Manila,Farrah ,Con-Tech Properties Inc.,Princess Homes,N/A,Farrah Fontain,farrah.fontain@gmail.com,7,North Cluster
Con-tech Properties Inc.,Blk. 1 Lot 50 Phase 7 Sacred Heart Village Caloocan City,Mario Olaso,Con-Tech Properties Inc.,Princessville 2 Homes,N/A,Farrah Fontain,farrah.fontain@gmail.com,7,North Cluster
Con-Tech Properties Inc.,B1 L50 PH7 Sacred Heart Village 179 Caloocan City Metro Manila,Farrah ,Con-Tech Properties Inc.,Princessville 2 Homes,N/A,Farrah Fontain,farrah.fontain@gmail.com,7,North Cluster
Con-tech Properties Inc.,Blk. 1 Lot 50 Phase 7 Sacred Heart Village Caloocan City,Mario Olaso,Con-Tech Properties Inc.,Princeville 1 Bagumbong,"PrinceVille 2 Subdivision Bagumbong, Caloocan City",Farrah Fontain,farrah.fontain@gmail.com,7,North Cluster
Con-Tech Properties Inc.,B1 L50 PH7 Sacred Heart Village 179 Caloocan City Metro Manila,Farrah ,Con-Tech Properties Inc.,Princeville 1 Bagumbong,"PrinceVille 2 Subdivision Bagumbong, Caloocan City",Farrah Fontain,farrah.fontain@gmail.com,7,North Cluster
Con-tech Properties Inc.,Blk. 1 Lot 50 Phase 7 Sacred Heart Village Caloocan City,Mario Olaso,Con-Tech Properties Inc.,Sunny Field Homes,"Norzagaray, Bulacan",Farrah Fontain,farrah.fontain@gmail.com,7,North Cluster
Con-Tech Properties Inc.,B1 L50 PH7 Sacred Heart Village 179 Caloocan City Metro Manila,Farrah ,Con-Tech Properties Inc.,Sunny Field Homes,"Norzagaray, Bulacan",Farrah Fontain,farrah.fontain@gmail.com,7,North Cluster
Con-Tech Properties Inc.,B1 L50 PH7 Sacred Heart Village 179 Caloocan City Metro Manila,Farrah ,Princess Homes Realty and Developers Inc.,Princessville 1,"Barangay Bagumbong, North Caloocan City",Farrah Fontain,farrah.fontain@gmail.com,7,North Cluster
Con-tech Properties Inc.,Blk. 1 Lot 50 Phase 7 Sacred Heart Village Caloocan City,Mario Olaso,Princess Homes Realty and Developers Inc.,Princessville 1,"Barangay Bagumbong, North Caloocan City",Farrah Fontain,farrah.fontain@gmail.com,7,North Cluster
Con-tech Properties Inc.,Blk. 1 Lot 50 Phase 7 Sacred Heart Village Caloocan City,Mario Olaso,Princess Homes Realty and Developers Inc.,Princessville 2,"Barangay Bagumbong, North Caloocan City",Farrah Fontain,farrah.fontain@gmail.com,7,North Cluster
Con-Tech Properties Inc.,B1 L50 PH7 Sacred Heart Village 179 Caloocan City Metro Manila,Farrah ,Princess Homes Realty and Developers Inc.,Princessville 2,"Barangay Bagumbong, North Caloocan City",Farrah Fontain,farrah.fontain@gmail.com,7,North Cluster
Con-tech Properties Inc.,Blk. 1 Lot 50 Phase 7 Sacred Heart Village Caloocan City,Mario Olaso,Princess Homes Realty and Developers Inc.,Princeville 1 Bagumbong,"Barangay Bagumbong, North Caloocan City",Farrah Fontain,farrah.fontain@gmail.com,7,North Cluster
Con-Tech Properties Inc.,B1 L50 PH7 Sacred Heart Village 179 Caloocan City Metro Manila,Farrah ,Princess Homes Realty and Developers Inc.,Princeville 1 Bagumbong,"Barangay Bagumbong, North Caloocan City",Farrah Fontain,farrah.fontain@gmail.com,7,North Cluster
Con-tech Properties Inc.,Blk. 1 Lot 50 Phase 7 Sacred Heart Village Caloocan City,Mario Olaso,Princess Homes Realty and Developers Inc.,Villa Hermano Subdivision,"Princess Homes Villa Hermano Subdivision, Quirino Highway, San Jose del Monte City, Bulacan",Farrah Fontain,farrah.fontain@gmail.com,7,North Cluster
Con-Tech Properties Inc.,B1 L50 PH7 Sacred Heart Village 179 Caloocan City Metro Manila,Farrah ,Princess Homes Realty and Developers Inc.,Villa Hermano Subdivision,"Princess Homes Villa Hermano Subdivision, Quirino Highway, San Jose del Monte City, Bulacan",Farrah Fontain,farrah.fontain@gmail.com,7,North Cluster
DMCI Homes,"DMCI Homes  Corporate Center 1321 Apolinario St. Bangkal, Makati City",Millet Garcia,DMCI Homes,Arista Place,"Lot 10-E, 1704 J.P. Rizal, Parañaque, 1704 Metro Manila",Mary Caca,marycaca@yahoo.com,5,Metro High Cluster
DMCI Homes,"DMCI Homes  Corporate Center 1321 Apolinario St. Bangkal, Makati City",Millet Garcia,DMCI Homes,Brio Tower,Makati City,Shiela Victory,shiela.victory@dmcicorp.com,5,Metro High Cluster
DMCI Homes,"DMCI Homes  Corporate Center 1321 Apolinario St. Bangkal, Makati City",Millet Garcia,DMCI Homes,Brixton Place,"27 Corner, Brixton St, Pasig, Metro Manila",Shiela Victory,shiela.victory@dmcicorp.com,5,Metro High Cluster
DMCI Homes,"DMCI Homes  Corporate Center 1321 Apolinario St. Bangkal, Makati City",Millet Garcia,DMCI Homes,Calathea Place,"Dr Arcadio Santos Ave, Parañaque, Metro Manila",Shiela Victory,shiela.victory@dmcicorp.com,5,Metro High Cluster
DMCI Homes,"DMCI Homes  Corporate Center 1321 Apolinario St. Bangkal, Makati City",Millet Garcia,DMCI Homes,Cedar Crest,"Acacia Ave, Acacia Estate, Taguig, Metro Manila",Shiela Victory,shiela.victory@dmcicorp.com,5,Metro High Cluster
